Current Velocity,Pstr CD = 0.35,Pstr CD = 1.0,Tmix CD = 0.35,Tmix CD 1.0,h,per
0.06999999999999999,1.7367153300000005e-05,4.9620438000000014e-05,27136.465620171923,9497.762967060171,12.0,peak
0.08,2.5924147200000003e-05,7.4068992e-05,18179.31192913861,6362.759175198516,12.0,peak
0.09,3.69115299e-05,0.00010546151399999999,12767.911807570606,4468.769132649712,12.0,peak
0.09999999999999999,5.0633100000000015e-05,0.00014466600000000003,9307.80770771897,3257.7326977016396,12.0,peak
0.11,6.73926561e-05,0.000192550446,6993.093694755052,2447.582793164267,12.0,peak
0.12,8.749399679999997e-05,0.00024998284799999997,5386.4627938188505,1885.2619778365972,12.0,peak
0.13,0.0001112409207,0.00031783120200000003,4236.5988655980755,1482.8096029593262,12.0,peak
0.14,0.00013893722640000004,0.0003969635040000001,3392.0582025214903,1187.2203708825214,12.0,peak
0.15000000000000002,0.00017088671249999995,0.00048824774999999996,2757.8689504352515,965.254132652338,12.0,peak
0.16,0.00020739317760000003,0.000592551936,2272.4139911423263,795.3448968998144,12.0,peak
0.17,0.00024876042030000004,0.0007107440580000001,1894.5262991489863,663.0842047021451,12.0,peak
0.18000000000000002,0.0002952922392,0.0008436921119999999,1595.9889759463258,558.596141581214,12.0,peak
0.19,0.0003472924329,0.0009922640940000001,1357.0210974951117,474.957384123289,12.0,peak
0.2,0.0004050648000000001,0.0011573280000000002,1163.4759634648713,407.21658721270495,12.0,peak
0.21000000000000002,0.0004689131390999999,0.0013397518259999997,1005.0542822285902,351.76899878000654,12.0,peak
0.22,0.0005391412488,0.001540403568,874.1367118443815,305.9478491455334,12.0,peak
0.23,0.0006160529277,0.0017601512220000001,765.0043320225998,267.7515162079099,12.0,peak
0.24000000000000002,0.0006999519743999998,0.0019998627839999997,673.3078492273563,235.65774722957465,12.0,peak
0.25,0.0007911421875,0.00226040625,595.6996932940141,208.49489265290498,12.0,peak
0.26,0.0008899273656,0.0025426496160000003,529.5748581997594,185.35120036991577,12.0,peak
0.27,0.0009966113073000002,0.0028474608780000004,472.88562250261486,165.50996787591524,12.0,peak
0.28,0.0011114978112000003,0.003175708032000001,424.0072753151863,148.40254636031517,12.0,peak
0.29000000000000004,0.0012348906758999996,0.003528259073999999,381.6395796350393,133.57385287226376,12.0,peak
0.3,0.0013670936999999996,0.0039059819999999997,344.73361880440643,120.65676658154224,12.0,peak
0.31,0.0015084106820999997,0.004309744805999999,312.4369006652671,109.3529152328435,12.0,peak
0.32,0.0016591454208000002,0.004740415488,284.0517488927908,99.4181121124768,12.0,peak
0.33,0.0018196017147000003,0.005198862042000001,259.0034701761129,90.65121456163952,12.0,peak
0.34,0.0019900833624000003,0.005685952464000001,236.81578739362328,82.88552558776814,12.0,peak
0.35000000000000003,0.002170894162499999,0.006202554749999999,217.0917249613755,75.98210373648142,12.0,peak
0.36000000000000004,0.0023623379136,0.0067495368959999994,199.49862199329073,69.82451769765176,12.0,peak
0.37,0.0025647184143,0.007327766898,183.756296916648,64.3147039208268,12.0,peak
0.38,0.0027783394632,0.007938112752000001,169.62763718688896,59.369673015411124,12.0,peak
0.39,0.0030035048589000003,0.008581442454,156.91106909622502,54.91887418367875,12.0,peak
0.4,0.003240518400000001,0.009258624000000002,145.4344954331089,50.90207340158812,12.0,peak
0.41000000000000003,0.003489683885099999,0.009970525385999997,135.05038678659588,47.26763537530856,12.0,peak
0.42000000000000004,0.0037513051127999993,0.010718014607999997,125.63178527857377,43.97112484750082,12.0,peak
0.43,0.0040256858817,0.011501959661999999,117.06903427017713,40.97416199456199,12.0,peak
0.44,0.0043131299904,0.012323228544,109.26708898054768,38.24348114319167,12.0,peak
0.45,0.0046139412375000004,0.01318268925,102.14329446056483,35.75015306119769,12.0,peak
0.46,0.0049284234216,0.014081209776000001,95.62554150282497,33.46893952598874,12.0,peak
0.47000000000000003,0.005256880341299999,0.015019658117999997,89.65072968146724,31.377755388513535,12.0,peak
0.48000000000000004,0.005599615795199998,0.015998902271999998,84.16348115341954,29.45721840369683,12.0,peak
0.49,0.005956933581899999,0.017019810233999996,79.11506011711934,27.69027104099177,12.0,peak
0.5,0.0063291375,0.01808325,74.46246166175176,26.061861581613122,12.0,peak
0.51,0.0067165313481000015,0.019190089566,70.1676407092217,24.558674248227607,12.0,peak
0.52,0.0071194189248,0.020341196928000002,66.19685727496993,23.16890004623947,12.0,peak
0.53,0.0075381040287,0.021537440082000002,62.52011867326028,21.882041535641097,12.0,peak
0.54,0.007972890458400002,0.022779687024000003,59.11070281282686,20.688745984489405,12.0,peak
0.55,0.008424082012500002,0.024068805750000005,55.94474955804038,19.58066234531414,12.0,peak
0.56,0.008891982489600003,0.025405664256000007,53.000909414398286,18.550318295039396,12.0,peak
0.5700000000000001,0.009376895688299997,0.02679113053799999,50.260040647967124,17.59101422678849,12.0,peak
0.5800000000000001,0.009879125407199997,0.028226072591999992,47.70494745437991,16.69673160903297,12.0,peak
0.59,0.0103989754449,0.029711358413999998,45.32015302304019,15.86205355806407,12.0,peak
0.6,0.010936749599999997,0.031247855999999997,43.091702350550804,15.08209582269278,12.0,peak
0.61,0.0114927516711,0.032836433346,41.006990486952525,14.352446670433384,12.0,peak
0.62,0.012067285456799998,0.034477958447999994,39.05461258315839,13.669114404105438,12.0,peak
0.63,0.012660654755700001,0.036173299302,37.22423267513296,13.028481436296534,12.0,peak
0.64,0.013273163366400002,0.037923323904,35.50646861159885,12.4272640140596,12.0,peak
0.65,0.0139051150875,0.03972890025,33.8927909247846,11.86247682367461,12.0,peak
0.66,0.014556813717600002,0.04159089633600001,32.37543377201411,11.33140182020494,12.0,peak
0.67,0.015228563055300003,0.04351018015800001,30.94731635114349,10.831560722900221,12.0,peak
0.68,0.015920666899200003,0.04548761971200001,29.60197342420291,10.360690698471018,12.0,peak
0.6900000000000001,0.016633429047899998,0.04752408299399999,28.33349377861481,9.916722822515185,12.0,peak
0.7000000000000001,0.017367153299999993,0.04962043799999999,27.136465620171936,9.497762967060178,12.0,peak
0.7100000000000001,0.018122143454099994,0.05177755272599999,26.005928031602757,9.102074811060964,12.0,peak
0.72,0.0188987033088,0.053996295167999996,24.93732774916134,8.72806471220647,12.0,peak
0.73,0.019697136662699996,0.056277533321999994,23.92648061066476,8.374268213732666,12.0,peak
0.74,0.0205177473144,0.058622135184,22.969537114581,8.03933799010335,12.0,peak
0.75,0.021360839062499998,0.06103096875,22.06295160348201,7.722033061218703,12.0,peak
0.76,0.0222267157056,0.06350490201600001,21.20345464836112,7.4212091269263905,12.0,peak
0.77,0.0231156810423,0.066044802978,20.38802826459198,7.135809892607194,12.0,peak
0.78,0.024028038871200003,0.068651539632,19.613883637028128,6.864859272959844,12.0,peak
0.79,0.0249640929909,0.071325979974,18.87844107204292,6.607454375215023,12.0,peak
0.8,0.025924147200000008,0.07406899200000001,18.179311929138613,6.362759175198515,12.0,peak
0.01,5.0633100000000006e-08,1.44666e-07,5546336.40540233,1941217.7418908158,8.0,breakdown
0.02,4.0506480000000005e-07,1.157328e-06,693292.0506752912,242652.21773635197,8.0,breakdown
0.03,1.3670936999999996e-06,3.9059819999999995e-06,205419.866866753,71896.95340336354,8.0,breakdown
0.04,3.2405184000000004e-06,9.258624e-06,86661.5063344114,30331.527217043997,8.0,breakdown
0.05,6.329137500000002e-06,1.8083250000000003e-05,44370.69124321863,15529.741935126522,8.0,breakdown
0.060000000000000005,1.0936749599999997e-05,3.1247855999999996e-05,25677.483358344125,8987.119175420443,8.0,breakdown
0.06999999999999999,1.7367153300000005e-05,4.9620438000000014e-05,16170.07698368026,5659.526944288091,8.0,breakdown
0.08,2.5924147200000003e-05,7.4068992e-05,10832.688291801425,3791.4409021304996,8.0,breakdown
0.09,3.69115299e-05,0.00010546151399999999,7608.143217287147,2662.850126050502,8.0,breakdown
0.09999999999999999,5.0633100000000015e-05,0.00014466600000000003,5546.336405402329,1941.2177418908152,8.0,breakdown
0.11,6.73926561e-05,0.000192550446,4167.044632158025,1458.4656212553084,8.0,breakdown
0.12,8.749399679999997e-05,0.00024998284799999997,3209.6854197930156,1123.3898969275554,8.0,breakdown
0.13,0.0001112409207,0.00031783120200000003,2524.5045086037007,883.576578011295,8.0,breakdown
0.14,0.00013893722640000004,0.0003969635040000001,2021.2596229600324,707.4408680360114,8.0,breakdown
